204, -0.112734, -0.119911, 0.001794
205, -0.058865, -0.077109, 0.004561
206, -0.117247, -0.126418, 0.002293
207, -0.103304, -0.116058, 0.003188
208, -0.114449, -0.124218, 0.002442
209, -0.103117, -0.114230, 0.002778
210, -0.098127, -0.109626, 0.002875
211, -0.109253, -0.121932, 0.003170
212, -0.093460, -0.109048, 0.003897
213, -0.115155, -0.124265, 0.002278
214, -0.106888, -0.117034, 0.002537
215, -0.106475, -0.115350, 0.002219
216, -0.092299, -0.102380, 0.002520
217, -0.112043, -0.122161, 0.002530
218, -0.121568, -0.133358, 0.002947
219, -0.082372, -0.096356, 0.003496
220, -0.117274, -0.126153, 0.002220
221, -0.059172, -0.078397, 0.004806
222, -0.101228, -0.114263, 0.003259
223, -0.094778, -0.107827, 0.003262
224, -0.097184, -0.107160, 0.002494
225, -0.119857, -0.127625, 0.001942
226, -0.120145, -0.130166, 0.002505
227, -0.109562, -0.122165, 0.003151
228, -0.101853, -0.119306, 0.004363
229, -0.101638, -0.113700, 0.003015
230, -0.114563, -0.125536, 0.002743
231, -0.082321, -0.095697, 0.003344
232, -0.084559, -0.094826, 0.002567
233, -0.108530, -0.120268, 0.002935
234, -0.117200, -0.127886, 0.002671
235, -0.117228, -0.126667, 0.002360
236, -0.105248, -0.119504, 0.003564
237, -0.104700, -0.117215, 0.003129
238, -0.104006, -0.121517, 0.004378
239, -0.093509, -0.111973, 0.004616
240, -0.098647, -0.110964, 0.003079
241, -0.092204, -0.103151, 0.002737
242, -0.100593, -0.110636, 0.002511
243, -0.105909, -0.115094, 0.002296
244, -0.110149, -0.119012, 0.002216
245, -0.104984, -0.115611, 0.002657
246, -0.105128, -0.113236, 0.002027
247, -0.108906, -0.121255, 0.003087
248, -0.103206, -0.117215, 0.003502
249, -0.119793, -0.128253, 0.002115
250, -0.109251, -0.122375, 0.003281
251, -0.082816, -0.100492, 0.004419
252, -0.082976, -0.101734, 0.004689
253, -0.094518, -0.116497, 0.005495
254, -0.102183, -0.120361, 0.004544
